Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus kolengh,Liolaemus kolengh,F,A,4,4,Metal,NA,NA,NA,NA,NA,56.66,NA,0.88,NA,NA,11.7,NA,0.21,NA,NA,8.45,NA,0.15,NA,NA,5.16,NA,0.1,NA,NA,2.35,NA,0.17,NA,NA,11.71,NA,0.18,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus mapuche,Liolaemus mapuche,M,A,11,11,Metal,NA,NA,NA,NA,NA,78.96,NA,1.42,NA,NA,16.5,NA,0.22,NA,NA,11.65,NA,0.18,NA,NA,8.61,NA,0.2,NA,NA,10.57,NA,0.78,NA,NA,17.22,NA,0.23,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus mapuche,Liolaemus mapuche,F,A,5,5,Metal,NA,NA,NA,NA,NA,71.01,NA,2.02,NA,NA,14.18,NA,0.24,NA,NA,9.95,NA,0.12,NA,NA,7.32,NA,0.28,NA,NA,6.49,NA,0.66,NA,NA,14.62,NA,0.26,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus morenoi,Liolaemus morenoi,M,A,6,6,Metal,NA,NA,NA,NA,NA,67.23,NA,0.69,NA,NA,14.53,NA,0.14,NA,NA,10.04,NA,0.17,NA,NA,7.09,NA,0.07,NA,NA,8.92,NA,0.49,NA,NA,14.79,NA,0.19,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus morenoi,Liolaemus morenoi,F,A,7,7,Metal,NA,NA,NA,NA,NA,69.03,NA,1.29,NA,NA,14.22,NA,0.2,NA,NA,9.92,NA,0.16,NA,NA,7.05,NA,0.06,NA,NA,9.09,NA,0.36,NA,NA,14.48,NA,0.24,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus petrophilus,Liolaemus petrophilus,M,A,2,2,Metal,NA,NA,NA,NA,NA,90.63,NA,3.76,NA,NA,19.87,NA,1.47,NA,NA,13.31,NA,0.73,NA,NA,7.93,NA,0.41,NA,NA,10.53,NA,0,NA,NA,21.5,NA,1.49,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus petrophilus,Liolaemus petrophilus,F,A,7,7,Metal,NA,NA,NA,NA,NA,78.46,NA,2.65,NA,NA,17.89,NA,0.48,NA,NA,11.22,NA,0.39,NA,NA,6.79,NA,0.34,NA,NA,6.77,NA,1.02,NA,NA,18.42,NA,0.6,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus rothi,Liolaemus rothi,M,A,3,3,Metal,NA,NA,NA,NA,NA,79.35,NA,4.88,NA,NA,16.55,NA,0.63,NA,NA,12.32,NA,0.75,NA,NA,8.48,NA,0.34,NA,NA,5.76,NA,0.66,NA,NA,18.1,NA,0.73,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus rothi,Liolaemus rothi,F,A,3,3,Metal,NA,NA,NA,NA,NA,80.9,NA,6.78,NA,NA,17.1,NA,1.3,NA,NA,12.33,NA,1.18,NA,NA,8.19,NA,0.75,NA,NA,5.27,NA,1.12,NA,NA,18.47,NA,1.41,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus sarmientoi,Liolaemus sarmientoi,M,A,4,4,Metal,NA,NA,NA,NA,NA,72.81,NA,3.55,NA,NA,15.43,NA,0.76,NA,NA,10.5,NA,0.68,NA,NA,7.81,NA,0.65,NA,NA,7.12,NA,1.01,NA,NA,16.34,NA,0.85,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus sarmientoi,Liolaemus sarmientoi,F,A,2,2,Metal,NA,NA,NA,NA,NA,74.7,NA,0.21,NA,NA,15.11,NA,0,NA,NA,10.11,NA,0.29,NA,NA,7.67,NA,0.17,NA,NA,5.46,NA,0.38,NA,NA,15.95,NA,0.01,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus tenuis,Liolaemus tenuis,M,A,4,4,Metal,NA,NA,NA,NA,NA,53.03,NA,2.16,NA,NA,12.98,NA,0.47,NA,NA,8.62,NA,0.35,NA,NA,5.3,NA,0.35,NA,NA,5.22,NA,0.34,NA,NA,13.44,NA,0.56,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus tenuis,Liolaemus tenuis,F,A,3,3,Metal,NA,NA,NA,NA,NA,51.91,NA,2.73,NA,NA,12.15,NA,0.49,NA,NA,7.34,NA,0.22,NA,NA,4.79,NA,0.22,NA,NA,3.73,NA,0.31,NA,NA,12.04,NA,0.44,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus xanthoviridis,Liolaemus xanthoviridis,M,A,5,5,Metal,NA,NA,NA,NA,NA,82.39,NA,3.78,NA,NA,16.81,NA,0.57,NA,NA,11.39,NA,0.52,NA,NA,7.99,NA,0.43,NA,NA,11.83,NA,1.19,NA,NA,17.3,NA,0.58,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus xanthoviridis,Liolaemus xanthoviridis,F,A,2,2,Metal,NA,NA,NA,NA,NA,84.17,NA,2.36,NA,NA,16.84,NA,0.49,NA,NA,10.7,NA,0.72,NA,NA,7.73,NA,0.62,NA,NA,10.27,NA,0.64,NA,NA,16.6,NA,0.54,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus zullyi,Liolaemus zullyae,M,A,5,5,Metal,NA,NA,NA,NA,NA,68.33,NA,2.9,NA,NA,15.95,NA,0.48,NA,NA,10.62,NA,0.33,NA,NA,7.75,NA,0.28,NA,NA,7.83,NA,0.81,NA,NA,16.57,NA,0.41,NA,NA,Good,"Taxa was named L.zullyi in the paper, upon searching for diet and habitat data in Mieris paper, I could not find any taxa named L.zullyi, Reptile databased revealed that it had been redescribed as Liolaemus zullyae â€” MIchels and Bauer, 2004 and there was a row for L.zullyae in Meiris database. Made a note but stuck to name as described in paper (L.zullyi).  "
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus zullyi,Liolaemus zullyae,F,A,3,3,Metal,NA,NA,NA,NA,NA,66.5,NA,3.12,NA,NA,14.03,NA,0.78,NA,NA,9.42,NA,0.44,NA,NA,6.94,NA,0.33,NA,NA,4.86,NA,0.61,NA,NA,14.66,NA,0.93,NA,NA,Good,NA
"Gowan, et al., 2010",2010,Physiol BiocheMZool,Teiidae,Aspidoscelis sexlineata,Aspidoscelis sexlineatus,M,A,112,112,NA,NA,NA,NA,NA,NA,65.4,NA,0.5,NA,NA,16.17,NA,0.13,NA,NA,8.54,NA,0.09,NA,NA,7.26,NA,0.08,NA,NA,4.33,NA,0.13,NA,NA,NA,NA,NA,NA,NA,Good,"This paper looked at males during the breeding season (n = 110 - 112) and post-breeding season (n = 33), no data for females. Sample size for morphometrics was 110- 112, sample size for bite force was 112. Breeding season data was used as it had a much larger sample size and because it had the higher max BF for the species. When trying to find habitat and diet data in Mieri DB, I discovered this taxa was renamed Aspidoscelis sexlineatus â€” PYRON & BURBRINK 2013."
"Schaerlaeken, et al., 2012",2012,J Exp Zool,Teiidae,Dracaena guianensis,Dracaena guianensis,NA,A,4,4,Metal,NA,NA,NA,NA,NA,389,38.1,NA,NA,NA,81.2,6.6,NA,NA,NA,69.9,8.2,NA,NA,NA,55.5,6,NA,NA,NA,383.3,88.2,NA,NA,NA,100,8.5,NA,NA,NA,Good,"This paper compared biteforce and head shape in a specialised durophagous (ability to eat hard-shelled prey) with a closely related species. Morph and BFdata was provided for both adults and juveniles for both species.  Data was taken from adults, no data was provided RE sex."
"Schaerlaeken, et al., 2012",2012,J Exp Zool,Teiidae,Tupinambis merianae,Salvator merianae,NA,A,35,35,Metal,NA,NA,NA,NA,NA,375.6,21.2,NA,NA,NA,78,7.2,NA,NA,NA,53.7,6.1,NA,NA,NA,45.6,5.4,NA,NA,NA,334.8,99.6,NA,NA,NA,96.6,9.8,NA,NA,NA,Good,"Taxa was named T.merianae in the paper, upon searching for diet and habitat data in Mieris paper, I could not find any taxa named T.merianae, Reptile databased revealed that it had been redescribed as Salvator merianae â€” HARVEY et al. 2012 and there was a row for S.merianae in Meiris database. It was renamed Tupinambis merianae â€” CROTHER et al. 2017. Made a note but stuck to name as described in paper (T.merianae).  "
"Edwards and Lailvaux, 2013",2013,Biol J Linn Soc,Dactyloidae,Anolis carolinensis,Anolis carolinensis,M,A,56,56,Metal,NA,NA,NA,NA,NA,63.32,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83,NA,0.37,NA,NA,NA,NA,NA,NA,NA,Good,"This paper looked at interspecific interactions between males and females oFtwo different species oFanoles. They tested whether species ID, biteforce, dewlap size and body size affected the outcome oFdominance interactions between the two taxa. Data was only for average SVL (SE) and BF(SE), no data on head morph. Also already collected data for A.carolinesis."
"Edwards and Lailvaux, 2013",2013,Biol J Linn Soc,Dactyloidae,Anolis carolinensis,Anolis carolinensis,F,A,40,40,Metal,NA,NA,NA,NA,NA,50.43,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,NA,0.1,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Edwards and Lailvaux, 2013",2013,Biol J Linn Soc,Dactyloidae,Anolis sagrei,Anolis sagrei,M,A,55,55,Metal,NA,NA,NA,NA,NA,56.66,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,NA,0.16,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Edwards and Lailvaux, 2013",2013,Biol J Linn Soc,Dactyloidae,Anolis sagrei,Anolis sagrei,F,A,38,38,Metal,NA,NA,NA,NA,NA,42.02,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA,0.01,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Edwards, et al., 2013",2013,Biol J Linn Soc,Lacertidae,Nucras holubi,Nucras holubi,NA,A,28,5,Metal,NA,NA,NA,NA,NA,51.19,4.83,NA,NA,NA,11.62,1,NA,NA,NA,7.5,0.94,NA,NA,NA,6.21,0.98,NA,NA,NA,8.2,2.01,NA,NA,NA,12.67,0.98,NA,NA,NA,Remove,"This paper looked at whether dietary niche breathe is linked to morphology and performance in Nucras lizards. They established a phylogeny for this genus using mtDNA and nuclear markers and identified clusters. They collected dietary data on 5 Nucras spcies and using geometric morphometrics to analyse cranial shape and see iFthis was correlated withd dietary data. Sample sizes were different for morphometric and BFdata. Sexes were combined for the dietary analysis as it was assumed there were no significant differences in prey between sexes, therefore no data was available for sex (I believe taken froMVan De Meer, 2011). Morph measurements were taken froMmusueMspecimens, BFdata taken in vivo. REMOVE!"
"Edwards, et al., 2013",2013,Biol J Linn Soc,Lacertidae,Nucras intertexta,Nucras intertexta,NA,A,29,19,Metal,NA,NA,NA,NA,NA,68.73,10.51,NA,NA,NA,14.99,1.87,NA,NA,NA,8.18,1.26,NA,NA,NA,6.99,1.17,NA,NA,NA,24.23,7.19,NA,NA,NA,15.76,1.89,NA,NA,NA,Remove,NA
"Edwards, et al., 2013",2013,Biol J Linn Soc,Lacertidae,Nucras tessellata,Nucras tessellata,NA,A,22,2,Metal,NA,NA,NA,NA,NA,59.1,9.03,NA,NA,NA,13.66,1.98,NA,NA,NA,7.43,1.29,NA,NA,NA,5.88,1.08,NA,NA,NA,13.85,4.93,NA,NA,NA,14.25,1.98,NA,NA,NA,Remove,NA
"Da Silva, et al., 2014",2014,PLoS ONE,Chamaeleonidae,Bradypodion melanocephalum,Bradypodion melanocephalum,M,A,25,23,NA,NA,NA,NA,NA,NA,49.14,0.88,NA,NA,NA,11.68,0.72,NA,NA,NA,7.54,0.48,NA,NA,NA,6.98,6.89,NA,NA,NA,10.37,3.11,NA,NA,NA,11.55,0.84,NA,NA,NA,Good,"This paper looked at how sexual dimorphisMmay affect bite force within the Chameleon B.melanocephalum/B.thambobates species complex. As well as these two species, there were 3 other phenotypic forms (Type A, B and C). I only included data on the described B.melanocephalum/B.thamnobates as they are officially recognised taxa."
"Da Silva, et al., 2014",2014,PLoS ONE,Chamaeleonidae,Bradypodion melanocephalum,Bradypodion melanocephalum,F,A,16,15,NA,NA,NA,NA,NA,NA,57.47,0.95,NA,NA,NA,11.23,0.85,NA,NA,NA,7.33,0.59,NA,NA,NA,6.89,0.47,NA,NA,NA,13.88,4.11,NA,NA,NA,11.05,0.86,NA,NA,NA,Good,NA
"Da Silva, et al., 2014",2014,PLoS ONE,Chamaeleonidae,Bradypodion thamnobates,Bradypodion thamnobates,M,A,20,20,NA,NA,NA,NA,NA,NA,60,3.27,NA,NA,NA,14.47,2.56,NA,NA,NA,10.41,2.5,NA,NA,NA,9,1.96,NA,NA,NA,23.57,17.89,NA,NA,NA,14.39,3.19,NA,NA,NA,Good,NA
"Da Silva, et al., 2014",2014,PLoS ONE,Chamaeleonidae,Bradypodion thamnobates,Bradypodion thamnobates,F,A,25,25,NA,NA,NA,NA,NA,NA,66.42,3.32,NA,NA,NA,14.17,2.76,NA,NA,NA,9.84,2.6,NA,NA,NA,8.73,2.1,NA,NA,NA,24.74,16.35,NA,NA,NA,13.56,3.06,NA,NA,NA,Good,NA
Broeckhoven & Mouton 2014,2014,Biol J Linn Soc,Cordylidae,Ouroborus cataphractus,Ouroborus cataphractus,M,A,19,19,Metal,NA,NA,NA,NA,NA,105.03,6.02,NA,NA,NA,29.08,1.67,NA,NA,NA,27.54,2.02,NA,NA,NA,14.01,0.89,NA,NA,NA,58.01,13.34,NA,NA,NA,28.64,1.41,NA,NA,NA,Good,"This was a typical paper looking at how morphology, ecology and biteforce are interrelated between two closely related taxa. Both taxa are rock-dwelling cordylid lizards. THIS PAPER WAS MISSING FROMVOLBIFDB"
Broeckhoven & Mouton 2014,2014,Biol J Linn Soc,Cordylidae,Ouroborus cataphractus,Ouroborus cataphractus,F,A,20,20,Metal,NA,NA,NA,NA,NA,100,4.13,NA,NA,NA,27.05,1.23,NA,NA,NA,24.81,1.24,NA,NA,NA,12.92,0.6,NA,NA,NA,40.09,7.39,NA,NA,NA,26.52,1.49,NA,NA,NA,Good,NA
Broeckhoven & Mouton 2014,2014,Biol J Linn Soc,Cordylidae,Karusasaurus polyzonus,Karusasaurus polyzonus,M,A,16,16,Metal,NA,NA,NA,NA,NA,101.04,7.3,NA,NA,NA,25.78,1.82,NA,NA,NA,21.68,2.01,NA,NA,NA,12.81,1.14,NA,NA,NA,33.19,13.63,NA,NA,NA,26.48,1.81,NA,NA,NA,Good,NA
Broeckhoven & Mouton 2014,2014,Biol J Linn Soc,Cordylidae,Karusasaurus polyzonus,Karusasaurus polyzonus,F,A,20,20,Metal,NA,NA,NA,NA,NA,105.3,6.34,NA,NA,NA,26.08,1.37,NA,NA,NA,21.42,1.53,NA,NA,NA,12.72,0.84,NA,NA,NA,30.15,6.31,NA,NA,NA,26.37,1.55,NA,NA,NA,Good,NA
"Sagonas, et al., 2014",2014,Biol J Linn Soc,Lacertidae,Lacerta trilineata,Lacerta trilineata,M,A,12,12,Metal,NA,NA,NA,NA,NA,139.70000000000002,1.26,NA,113.9,158,43.2,0.55,NA,35.4,54.1,24,0.56,NA,16.4,32.5,21.400000000000002,0.46,NA,15.2,28.1,66.43,12.41,NA,NA,NA,28.5,0.42,NA,21.9,33.9,Good,"Sagonas et al. 2014 has data for Lacerta trilineata, both mainland (Eprirus, Thessalia, Peloponnese) and island (Crete, Andros, Skyros) taxa. Sample size for mainland (M= 13, F= 12) is similar to island (M=12, F=12). I used data from the island population as it had a higher max BF for both males and females. Paper not in VolBiFDB."
"Sagonas, et al., 2014",2014,Biol J Linn Soc,Lacertidae,Lacerta trilineata,Lacerta trilineata,F,A,12,12,Metal,NA,NA,NA,NA,NA,120.3,1.34,NA,103,148,35.8,0.41,NA,29,44.699999999999996,17.2,0.25,NA,13.700000000000001,23.2,14.1,0.53,NA,10.4,16.599999999999998,39.43,7.98,NA,NA,NA,21,0.25,NA,15.5,25.6,Good,NA
"Herrel, et al., 2014",2014,J Zool,Agamidae,Uromastyx aegyptia,Uromastyx aegyptia,M,A,7,7,NA,362.43,334.38,NA,9.4,891.8,205.4,92.11,NA,67.3,330,31.1,9.75,NA,15.2,42.1,31.67,11.96,NA,14.3,48.6,20,7.08,NA,9.2,29.7,83.4,50.22,NA,10,140.7,35.6,11.85,NA,15.2,48.9,Good,"This paper looked at sex differences in BFand how this correlates with morph measurements. The raw morph and BFdata was for 12 individual lizards (7 males, 5 females). I averaged theMmyselFand calculated the SD myself."
"Herrel, et al., 2014",2014,J Zool,Agamidae,Uromastyx aegyptia,Uromastyx aegyptia,F,A,5,5,NA,369.5,258.2,NA,26.5,716,224.3,63.57,NA,131.7,290,33.96,7.36,NA,23.7,43.7,34.26,9.23,NA,21.3,45.2,20.72,4.77,NA,13.6,25.8,82.5,35.96,NA,23.5,117.9,38.34,9.36,NA,24.8,49.7,Good,NA
"Jones & Lappin, 2009",2009,J Roy Soc N Zeal,Sphenodontidae,Sphenodon punctatus,Sphenodon punctatus,M,A,1,1,Leather,778,NA,NA,NA,NA,250,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,"This paper looked at BFin tuataras, they measured BFat both the tips oFthe jaw and at the posterior oFthe jaw. I took BFvalues froMtips oFjaw recommended by Marc. No SD/SE as was only one male/one female. BAD = no SD or SE as sample size was 1"
"Jones & Lappin, 2009",2009,J Roy Soc N Zeal,Sphenodontidae,Sphenodon punctatus,Sphenodon punctatus,F,A,1,1,Leather,590,NA,NA,NA,NA,220,NA,NA,NA,NA,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Segall, et al., 2013",2013,J Exp Biol,Chamaeleonidae,Bradypodion pumilum,Bradypodion pumilum,NA,A,10,10,NA,9.77,NA,1.02,NA,NA,66.53,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,0.7,NA,NA,NA,NA,NA,NA,NA,Good,"Segall, et al., 2013 (J Exp Biol) - this paper looks at the effect oFtemperature on biteforce in two species oFdwarFchameleon (B.pumiluMand B.occidentale).  There is data available for mean mass and SVL for both species, n = 10 for each species, paper states that one male and nine females were captured for each species, however mass and SVL is averaged across sex, therefore unable to obtain sex data. No data available for head morphometrics. There is data available for bite force, however bite force was collected at different temperatures (15-35 degrees celsius, in increments oF5 degrees). COLLECTED BFDATA FROM25 DEGREES CELSIUS AS THIS TEMP WITH MAX BFVALUE FOR BOTH SP - (NC) but worth noting in the discussion that BFvaries depending on lots oFecological parameters and that we have simplified the analysis
"
"Segall, et al., 2013",2013,J Exp Biol,Chamaeleonidae,Bradypodion occidentale,Bradypodion occidentale,NA,A,10,10,NA,15.96,NA,1.44,NA,NA,78.87,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,1.01,NA,NA,NA,NA,NA,NA,NA,Good,NA
"D'Amore,  et al., 2011",2011,PLoS ONE,Varanidae,Varanus komodoensis,Varanus komodoensis,M,A,1,1,Rubber,74.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.81,NA,NA,NA,NA,13.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,Remove,"This paper looked at BFin Komodo Dragons, Morph data was available for ten captive indiv ( M= 6, F= 4). Results state that ""A total oF200 bite force peaks were collected froM22 trials. Regressions indicate maximuMbite force correlates best with mass, but also well with TL (Figure 2). All monitors produced a wide range oFforces, but heavier monitors produced greater maximuMforces with the highest at 148.56 N. HL and HW show much less significant correlations with bite force."" Therefore MAX BF= 148.56, morph data was taken from largest male in the sample (n=1) to match with BF data. This is slightly dodgy so important to note this may need revising.  "
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Teiidae,Aspidoscelis flagellicaudus,Aspidoscelis sonorae,NA,A,51,51,Metal,NA,NA,NA,NA,NA,70.68,NA,1.4,NA,NA,NA,NA,NA,NA,NA,10.24,NA,0.17,NA,NA,8.65,NA,0.14,NA,NA,5.88,NA,0.35,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Teiidae,Aspidoscelis tigris,Aspidoscelis tigris,NA,A,1,1,Metal,NA,NA,NA,NA,NA,75.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.07,NA,NA,NA,NA,9.23,NA,NA,NA,NA,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,"Bad = no SD or SE with averages due to sample size of 1, can use in MAX BF analysis but not in analysis with SD or SE"
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Phrynosomatidae,Cophosaurus texanum,Cophosaurus texanus,NA,A,29,29,Metal,NA,NA,NA,NA,NA,60.71,NA,1.56,NA,NA,NA,NA,NA,NA,NA,10.32,NA,0.19,NA,NA,7.86,NA,0.2,NA,NA,4.23,NA,0.35,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Crotaphytidae,Crotaphytus collaris,Crotaphytus collaris,NA,A,6,6,Metal,NA,NA,NA,NA,NA,72.26,NA,5.12,NA,NA,NA,NA,NA,NA,NA,17.08,NA,0.99,NA,NA,11.05,NA,0.64,NA,NA,11.79,NA,1.93,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Anguidae,Elgaria kingii,Elgaria kingii,NA,A,15,15,Metal,NA,NA,NA,NA,NA,80.12,NA,3.37,NA,NA,NA,NA,NA,NA,NA,9.93,NA,0.44,NA,NA,7.11,NA,0.27,NA,NA,5.96,NA,0.78,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Phrynosomatidae,Sceloporus clarkii,Sceloporus clarkii,NA,A,49,49,Metal,NA,NA,NA,NA,NA,80.98,NA,2.41,NA,NA,NA,NA,NA,NA,NA,17.35,NA,0.45,NA,NA,11.68,NA,0.32,NA,NA,14.17,NA,0.85,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Phrynosomatidae,Sceloporus magister,Sceloporus magister,NA,A,8,8,Metal,NA,NA,NA,NA,NA,62.63,NA,3.27,NA,NA,NA,NA,NA,NA,NA,13.39,NA,0.54,NA,NA,9.3,NA,0.39,NA,NA,8.32,NA,1.09,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Phrynosomatidae,Sceloporus undulatus,Sceloporus undulatus,NA,A,68,68,Metal,NA,NA,NA,NA,NA,58.19,NA,0.71,NA,NA,NA,NA,NA,NA,NA,11.45,NA,0.14,NA,NA,7.96,NA,0.09,NA,NA,5.81,NA,0.21,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Phrynosomatidae,Urosaurus ornatus,Urosaurus ornatus,NA,A,303,303,Metal,NA,NA,NA,NA,NA,49.54,NA,0.17,NA,NA,NA,NA,NA,NA,NA,9.05,NA,0.04,NA,NA,6.08,NA,0.03,NA,NA,3.51,NA,0.05,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers & Irschick, 2015",2015,Biol J Linn Soc,Phrynosomatidae,Uta stansburiana,Uta stansburiana,NA,A,3,3,Metal,NA,NA,NA,NA,NA,46.77,NA,0.8,NA,NA,NA,NA,NA,NA,NA,9.02,NA,0.32,NA,NA,6.07,NA,0.29,NA,NA,2.88,NA,0.21,NA,NA,NA,NA,NA,NA,NA,Good,NA
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia atlantica,Gallotia atlantica,M,A,20,20,NA,21,5.9,NA,NA,NA,91.1,6,NA,NA,NA,21.4,1.5,NA,NA,NA,14,1.3,NA,NA,NA,9.7,1.2,NA,NA,NA,29.7,5.9,NA,NA,NA,23.9,1.7,NA,NA,NA,Bad,"This paper looked at morph and BFin the genus Gallotia, as well as looking at diet. Table 1 did not specify whether it was SD or SE included with the morph and BFdata, I have put the data in the SD column. For some of the species used in this study, data were available from more than one population, (e.g. G.gallotia has data from 2 different island populations. Data were taken from the population with the highest max BF for the species. ""BAD"" data as did not specify SD or SE with averages."
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia atlantica,Gallotia atlantica,F,A,18,18,NA,7.8,5.4,NA,NA,NA,63.4,5.9,NA,NA,NA,14.5,1.5,NA,NA,NA,8.3,1.1,NA,NA,NA,6,0.8,NA,NA,NA,8.4,3.6,NA,NA,NA,15.5,1.7,NA,NA,NA,Bad,Gallotia atlantica morph and BFdata were froMthe Lanzarote Island population as they had the higher MAX BF. ** NO INDICATION AS TO WHETHER SD/SE PROVIDED
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia bravoana,Gallotia bravoana,M,A,14,14,NA,210.5,21.7,NA,NA,NA,184.5,7.2,NA,NA,NA,46.1,1.9,NA,NA,NA,31.6,1.3,NA,NA,NA,23.4,1.4,NA,NA,NA,133.3,10.7,NA,NA,NA,48.2,2.2,NA,NA,NA,Bad,Gallotia bravoana morph and BFdata were froMthe La Gomera Island population as this was the ONLY pop sampled
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia bravoana,Gallotia bravoana,F,A,15,15,NA,159.2,12.9,NA,NA,NA,172.3,5.8,NA,NA,NA,38.3,1.5,NA,NA,NA,26.2,1.2,NA,NA,NA,19.8,0.7,NA,NA,NA,104.4,9.2,NA,NA,NA,40.1,1.7,NA,NA,NA,Bad,NA
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia caesaris,Gallotia caesaris,M,A,7,7,NA,27.6,7.7,NA,NA,NA,96.9,8.8,NA,NA,NA,24.9,2.8,NA,NA,NA,14.9,3,NA,NA,NA,11.9,1.8,NA,NA,NA,40.1,14.7,NA,NA,NA,27,12.8,NA,NA,NA,Bad,Gallotia caesaris morph and BFdata were froMthe La Gomera Island population as they had the higher MAX BF.
